"코드","등록상태","보건소명","시·도","시·군·구","주소","전화번호","사업자번호","가입신청","승인","대기"
"GGI015","미등록","안산시 단원구보건소","경기도","안산시 단원구","경기 안산시 단원구 화랑로 387","031-481-5700","","0","0","0"
"GGI016","미등록","안산시 상록구보건소","경기도","안산시 상록구","경기 안산시 상록구 해안로 820","031-481-6700","","0","0","0"
"GGI017","미등록","고양시 덕양구보건소","경기도","고양시 덕양구","경기 고양시 덕양구 고양시청로 10","031-8075-4700","","0","0","0"
"GGI018","미등록","고양시 일산동구보건소","경기도","고양시 일산동구","경기 고양시 일산동구 중앙로 1305","031-8075-5700","","0","0","0"
"GGI019","미등록","고양시 일산서구보건소","경기도","고양시 일산서구","경기 고양시 일산서구 주화로 40","031-8075-6700","","0","0","0"
"GGI020","미등록","과천시보건소","경기도","과천시","경기 과천시 관문로 69","02-3677-4700","","0","0","0"
"GGI021","미등록","구리시보건소","경기도","구리시","경기 구리시 아차산로 439","031-550-8700","","0","0","0"
"GGI022","미등록","남양주시보건소","경기도","남양주시","경기 남양주시 다산순환로 14","031-590-4700","","0","0","0"
"GGI023","미등록","오산시보건소","경기도","오산시","경기 오산시 오산로 1","031-8036-6700","","0","0","0"
"GGI024","미등록","시흥시보건소","경기도","시흥시","경기 시흥시 시청로 20","031-310-6700","","0","0","0"
"GGI025","미등록","군포시보건소","경기도","군포시","경기 군포시 군포로 591","031-390-6700","","0","0","0"
"GGI026","미등록","의왕시보건소","경기도","의왕시","경기 의왕시 시청로 11","031-345-3700","","0","0","0"
"GGI027","미등록","하남시보건소","경기도","하남시","경기 하남시 대청로 10","031-790-6700","","0","0","0"
"GGI028","미등록","용인시 처인구보건소","경기도","용인시 처인구","경기 용인시 처인구 중부대로 1199","031-324-7000","","0","0","0"
"GGI029","미등록","파주시보건소","경기도","파주시","경기 파주시 중앙로 201","031-940-5700","","0","0","0"
"GGI030","미등록","이천시보건소","경기도","이천시","경기 이천시 중리천로 60","031-644-4700","","0","0","0"
"GGI031","미등록","안성시보건소","경기도","안성시","경기 안성시 시청길 25","031-678-5700","","0","0","0"
"GWN001","미등록","춘천시보건소","강원특별자치도","춘천시","강원 춘천시 공지로 351","033-250-4000","","0","0","0"
"GWN002","미등록","원주시보건소","강원특별자치도","원주시","강원 원주시 원일로 10","033-737-4700","","0","0","0"
"GWN003","미등록","강릉시보건소","강원특별자치도","강릉시","강원 강릉시 강릉대로 33","033-660-3000","","0","0","0"
"GWN004","미등록","동해시보건소","강원특별자치도","동해시","강원 동해시 천곡로 7","033-530-2700","","0","0","0"
"GWN005","미등록","태백시보건소","강원특별자치도","태백시","강원 태백시 황지로 7","033-550-2700","","0","0","0"
"GWN006","미등록","속초시보건소","강원특별자치도","속초시","강원 속초시 조양로 120","033-639-2700","","0","0","0"
"GWN007","미등록","삼척시보건소","강원특별자치도","삼척시","강원 삼척시 엑스포로 10","033-570-4700","","0","0","0"
"GWN008","미등록","홍천군보건소","강원특별자치도","홍천군","강원 홍천군 홍천읍 홍천로 33","033-430-4700","","0","0","0"
"GWN009","미등록","횡성군보건소","강원특별자치도","횡성군","강원 횡성군 횡성읍 횡성로 19","033-340-4700","","0","0","0"
"GWN010","미등록","영월군보건소","강원특별자치도","영월군","강원 영월군 영월읍 영월로 1909","033-370-2700","","0","0","0"
"GWN011","미등록","평창군보건소","강원특별자치도","평창군","강원 평창군 평창읍 평창로 456","033-330-4700","","0","0","0"
"GWN012","미등록","정선군보건소","강원특별자치도","정선군","강원 정선군 정선읍 봉양로 1","033-560-2700","","0","0","0"
"GWN013","미등록","철원군보건소","강원특별자치도","철원군","강원 철원군 갈말읍 군청길 1","033-450-4700","","0","0","0"
"GWN014","미등록","화천군보건소","강원특별자치도","화천군","강원 화천군 화천읍 군청길 1","033-440-2700","","0","0","0"
"GWN015","미등록","양구군보건소","강원특별자치도","양구군","강원 양구군 양구읍 군청로 1","033-480-2700","","0","0","0"
"GWN016","미등록","인제군보건소","강원특별자치도","인제군","강원 인제군 인제읍 인제로 187","033-460-2700","","0","0","0"
"GWN017","미등록","고성군보건소","강원특별자치도","고성군","강원 고성군 간성읍 수성로 10","033-680-4700","","0","0","0"
"GWN018","미등록","양양군보건소","강원특별자치도","양양군","강원 양양군 양양읍 군청길 1","033-670-2700","","0","0","0"
"CNB001","미등록","청주시 상당구보건소","충청북도","청주시 상당구","충북 청주시 상당구 상당로 82","043-201-4700","","0","0","0"
"CNB002","미등록","청주시 서원구보건소","충청북도","청주시 서원구","충북 청주시 서원구 사직대로 45","043-201-5700","","0","0","0"
"CNB003","미등록","청주시 흥덕구보건소","충청북도","청주시 흥덕구","충북 청주시 흥덕구 가로수로 1110","043-201-6700","","0","0","0"
"CNB004","미등록","청주시 청원구보건소","충청북도","청주시 청원구","충북 청주시 청원구 오창읍 중심상업로 48","043-201-7700","","0","0","0"
"CNB005","미등록","충주시보건소","충청북도","충주시","충북 충주시 충원대로 268","043-850-4700","","0","0","0"
"CNB006","미등록","제천시보건소","충청북도","제천시","충북 제천시 의림대로 8","043-641-4700","","0","0","0"
"CNB007","미등록","보은군보건소","충청북도","보은군","충북 보은군 보은읍 군청로 1","043-540-4700","","0","0","0"
"CNB008","미등록","옥천군보건소","충청북도","옥천군","충북 옥천군 옥천읍 군청길 1","043-730-4700","","0","0","0"
"CNB009","미등록","영동군보건소","충청북도","영동군","충북 영동군 영동읍 계산로 1","043-740-4700","","0","0","0"
"CNB010","미등록","증평군보건소","충청북도","증평군","충북 증평군 증평읍 군청로 1","043-835-4700","","0","0","0"
"CNB011","미등록","진천군보건소","충청북도","진천군","충북 진천군 진천읍 문화로 1","043-539-4700","","0","0","0"
"CNA001","미등록","천안시 동남구보건소","충청남도","천안시 동남구","충남 천안시 동남구 청수14로 46","041-521-5700","","0","0","0"
"CNA002","미등록","천안시 서북구보건소","충청남도","천안시 서북구","충남 천안시 서북구 번영로 156","041-521-6700","","0","0","0"
"CNA003","미등록","공주시보건소","충청남도","공주시","충남 공주시 봉황로 1","041-840-8700","","0","0","0"
"CNA004","미등록","보령시보건소","충청남도","보령시","충남 보령시 죽정길 1","041-930-4700","","0","0","0"
"CNA005","미등록","아산시보건소","충청남도","아산시","충남 아산시 시민로 456","041-537-3700","","0","0","0"
"CNA006","미등록","서산시보건소","충청남도","서산시","충남 서산시 관아문길 1","041-661-5700","","0","0","0"
"CNA007","미등록","논산시보건소","충청남도","논산시","충남 논산시 시민로 210","041-746-8700","","0","0","0"
"CNA008","미등록","계룡시보건소","충청남도","계룡시","충남 계룡시 계룡대로 845","042-840-2700","","0","0","0"
"CNA009","미등록","당진시보건소","충청남도","당진시","충남 당진시 시청1로 1","041-360-6700","","0","0","0"
"CNA010","미등록","금산군보건소","충청남도","금산군","충남 금산군 금산읍 군청길 13","041-750-4700","","0","0","0"
"CNA011","미등록","부여군보건소","충청남도","부여군","충남 부여군 부여읍 사비로 33","041-830-8700","","0","0","0"
"CNA012","미등록","서천군보건소","충청남도","서천군","충남 서천군 서천읍 군청로 1","041-950-6700","","0","0","0"
"CNA013","미등록","청양군보건소","충청남도","청양군","충남 청양군 청양읍 칠갑산로 7","041-940-4700","","0","0","0"
"CNA014","미등록","홍성군보건소","충청남도","홍성군","충남 홍성군 홍성읍 아문길 1","041-630-1700","","0","0","0"
"CNA015","미등록","예산군보건소","충청남도","예산군","충남 예산군 예산읍 군청로 1","041-339-8700","","0","0","0"
"CNA016","미등록","태안군보건소","충청남도","태안군","충남 태안군 태안읍 시청로 1","041-670-4700","","0","0","0"
"JNB001","미등록","전주시 완산구보건소","전북특별자치도","전주시 완산구","전북 전주시 완산구 서원로 77","063-281-6700","","0","0","0"
"JNB002","미등록","전주시 덕진구보건소","전북특별자치도","전주시 덕진구","전북 전주시 덕진구 건산로 251","063-281-6800","","0","0","0"
"JNB003","미등록","군산시보건소","전북특별자치도","군산시","전북 군산시 의료원로 27","063-454-5000","","0","0","0"
"JNB004","미등록","익산시보건소","전북특별자치도","익산시","전북 익산시 익산대로 460","063-859-4700","","0","0","0"
"JNB005","미등록","정읍시보건소","전북특별자치도","정읍시","전북 정읍시 시기2길 1","063-539-6700","","0","0","0"
"JNB006","미등록","남원시보건소","전북특별자치도","남원시","전북 남원시 시청로 60","063-620-6700","","0","0","0"
"JNB007","미등록","김제시보건소","전북특별자치도","김제시","전북 김제시 순동로 1","063-540-4700","","0","0","0"
"JNB008","미등록","완주군보건소","전북특별자치도","완주군","전북 완주군 용진읍 완주로 78","063-290-3700","","0","0","0"
"JNB009","미등록","진안군보건소","전북특별자치도","진안군","전북 진안군 진안읍 군청길 1","063-430-2700","","0","0","0"
"JNB010","미등록","무주군보건소","전북특별자치도","무주군","전북 무주군 무주읍 무주로 607","063-320-2700","","0","0","0"
"JNB011","미등록","장수군보건소","전북특별자치도","장수군","전북 장수군 장수읍 군청로 1","063-350-2700","","0","0","0"
"JNB012","미등록","임실군보건소","전북특별자치도","임실군","전북 임실군 임실읍 군청로 1","063-640-2700","","0","0","0"
"JNB013","미등록","순창군보건소","전북특별자치도","순창군","전북 순창군 순창읍 경천로 1","063-650-5700","","0","0","0"
"JNB014","미등록","고창군보건소","전북특별자치도","고창군","전북 고창군 고창읍 중앙로 1","063-560-2700","","0","0","0"
"JNA001","미등록","목포시보건소","전라남도","목포시","전남 목포시 영산로 483","061-270-8700","","0","0","0"
"JNA002","미등록","여수시보건소","전라남도","여수시","전남 여수시 여서1로 1","061-659-4700","","0","0","0"
"JNA003","미등록","순천시보건소","전라남도","순천시","전남 순천시 팔마로 321","061-749-6700","","0","0","0"
"JNA004","미등록","나주시보건소","전라남도","나주시","전남 나주시 시청길 23","061-339-8700","","0","0","0"
"JNA005","미등록","광양시보건소","전라남도","광양시","전남 광양시 광양읍 군청로 33","061-797-4700","","0","0","0"
"JNA006","미등록","담양군보건소","전라남도","담양군","전남 담양군 담양읍 추성로 1371","061-380-3700","","0","0","0"
"JNA007","미등록","곡성군보건소","전라남도","곡성군","전남 곡성군 곡성읍 군청로 50","061-360-8700","","0","0","0"
"JNA008","미등록","구례군보건소","전라남도","구례군","전남 구례군 구례읍 군청로 1","061-780-2700","","0","0","0"
"JNA009","미등록","고흥군보건소","전라남도","고흥군","전남 고흥군 고흥읍 군청길 1","061-830-5700","","0","0","0"
"JNA010","미등록","보성군보건소","전라남도","보성군","전남 보성군 보성읍 군청길 1","061-850-5700","","0","0","0"
"JNA011","미등록","화순군보건소","전라남도","화순군","전남 화순군 화순읍 군청로 1","061-379-5700","","0","0","0"
"JNA012","미등록","장흥군보건소","전라남도","장흥군","전남 장흥군 장흥읍 군청로 1","061-860-5700","","0","0","0"
"JNA013","미등록","강진군보건소","전라남도","강진군","전남 강진군 강진읍 군청로 1","061-430-3700","","0","0","0"
"JNA014","미등록","해남군보건소","전라남도","해남군","전남 해남군 해남읍 군청길 1","061-530-5700","","0","0","0"
"JNA015","미등록","영암군보건소","전라남도","영암군","전남 영암군 영암읍 군청로 1","061-470-6700","","0","0","0"
"JNA016","미등록","무안군보건소","전라남도","무안군","전남 무안군 무안읍 군청로 1","061-450-5700","","0","0","0"
"JNA017","미등록","함평군보건소","전라남도","함평군","전남 함평군 함평읍 군청로 1","061-320-3700","","0","0","0"
"JNA018","미등록","영광군보건소","전라남도","영광군","전남 영광군 영광읍 군청로 1","061-350-5700","","0","0","0"
"JNA019","미등록","장성군보건소","전라남도","장성군","전남 장성군 장성읍 군청로 1","061-390-8700","","0","0","0"
"JNA020","미등록","완도군보건소","전라남도","완도군","전남 완도군 완도읍 군청길 1","061-550-6700","","0","0","0"
"JNA021","미등록","진도군보건소","전라남도","진도군","전남 진도군 진도읍 군청길 1","061-540-6700","","0","0","0"
"JNA022","미등록","신안군보건소","전라남도","신안군","전남 신안군 압해읍 군청로 1","061-240-8700","","0","0","0"
"GNB001","미등록","포항시 남구보건소","경상북도","포항시 남구","경북 포항시 남구 중흥로 100","054-270-4700","","0","0","0"
"GNB002","미등록","포항시 북구보건소","경상북도","포항시 북구","경북 포항시 북구 법원로 87","054-270-5700","","0","0","0"
"GNB003","미등록","경주시보건소","경상북도","경주시","경북 경주시 동문로 1","054-779-8700","","0","0","0"
"GNB004","미등록","김천시보건소","경상북도","김천시","경북 김천시 시청로 1","054-420-6700","","0","0","0"
"GNB005","미등록","안동시보건소","경상북도","안동시","경북 안동시 경동로 1","054-840-6700","","0","0","0"
"GNB006","미등록","구미시보건소","경상북도","구미시","경북 구미시 송원대로 1","054-480-4700","","0","0","0"
"GNB007","미등록","영주시보건소","경상북도","영주시","경북 영주시 광복로 1","054-639-6700","","0","0","0"
"GNB008","미등록","영천시보건소","경상북도","영천시","경북 영천시 시청로 1","054-330-6700","","0","0","0"
"GNB009","미등록","상주시보건소","경상북도","상주시","경북 상주시 시청길 1","054-537-7700","","0","0","0"
"GNB010","미등록","문경시보건소","경상북도","문경시","경북 문경시 모전로 1","054-550-6700","","0","0","0"
"GNB011","미등록","경산시보건소","경상북도","경산시","경북 경산시 삼풍로 27","053-810-6700","","0","0","0"
"GNB012","미등록","군위군보건소","경상북도","군위군","경북 군위군 군위읍 군청길 1","054-380-6700","","0","0","0"
"GNB013","미등록","의성군보건소","경상북도","의성군","경북 의성군 의성읍 군청길 1","054-830-6700","","0","0","0"
"GNB014","미등록","청송군보건소","경상북도","청송군","경북 청송군 청송읍 군청길 1","054-870-6700","","0","0","0"
"GNB015","미등록","영양군보건소","경상북도","영양군","경북 영양군 영양읍 군청길 1","054-680-6700","","0","0","0"
"GNB016","미등록","영덕군보건소","경상북도","영덕군","경북 영덕군 영덕읍 군청길 1","054-730-6700","","0","0","0"
"GNB017","미등록","청도군보건소","경상북도","청도군","경북 청도군 화양읍 군청길 1","054-370-6700","","0","0","0"
"GNB018","미등록","고령군보건소","경상북도","고령군","경북 고령군 대가야읍 군청길 1","054-950-6700","","0","0","0"
"GNB019","미등록","성주군보건소","경상북도","성주군","경북 성주군 성주읍 군청길 1","054-930-6700","","0","0","0"
"GNB020","미등록","칠곡군보건소","경상북도","칠곡군","경북 칠곡군 왜관읍 군청로 1","054-979-6700","","0","0","0"
"GNB021","미등록","예천군보건소","경상북도","예천군","경북 예천군 예천읍 군청로 1","054-650-6700","","0","0","0"
"GNB022","미등록","봉화군보건소","경상북도","봉화군","경북 봉화군 봉화읍 군청길 1","054-679-6700","","0","0","0"
"GNB023","미등록","울진군보건소","경상북도","울진군","경북 울진군 울진읍 군청길 1","054-789-6700","","0","0","0"
"GNA001","미등록","창원시 의창구보건소","경상남도","창원시 의창구","경남 창원시 의창구 의창대로 300","055-212-6700","","0","0","0"
"GNA002","미등록","창원시 성산구보건소","경상남도","창원시 성산구","경남 창원시 성산구 원이대로 450","055-212-7700","","0","0","0"
"GNA003","미등록","창원시 마산합포구보건소","경상남도","창원시 마산합포구","경남 창원시 마산합포구 3·15대로 780","055-212-8700","","0","0","0"
"GNA004","미등록","창원시 마산회원구보건소","경상남도","창원시 마산회원구","경남 창원시 마산회원구 3·15대로 642","055-212-9700","","0","0","0"
"GNA005","미등록","창원시 진해구보건소","경상남도","창원시 진해구","경남 창원시 진해구 진해대로 691","055-212-5700","","0","0","0"
"GNA006","미등록","진주시보건소","경상남도","진주시","경남 진주시 동진로 43","055-749-5700","","0","0","0"
"GNA007","미등록","통영시보건소","경상남도","통영시","경남 통영시 발개로 1","055-650-4700","","0","0","0"
"GNA008","미등록","사천시보건소","경상남도","사천시","경남 사천시 사천대로 1","055-831-4700","","0","0","0"
"GNA009","미등록","김해시보건소","경상남도","김해시","경남 김해시 김해대로 2401","055-330-6700","","0","0","0"
"GNA010","미등록","밀양시보건소","경상남도","밀양시","경남 밀양시 가곡로 1","055-359-6700","","0","0","0"
"GNA011","미등록","거제시보건소","경상남도","거제시","경남 거제시 거제대로 3518","055-639-6700","","0","0","0"
"GNA012","미등록","양산시보건소","경상남도","양산시","경남 양산시 시청로 1","055-392-4700","","0","0","0"
"GNA013","미등록","의령군보건소","경상남도","의령군","경남 의령군 의령읍 군청로 1","055-570-2700","","0","0","0"
"GNA014","미등록","함안군보건소","경상남도","함안군","경남 함안군 가야읍 군청로 1","055-580-4700","","0","0","0"
"GNA015","미등록","창녕군보건소","경상남도","창녕군","경남 창녕군 창녕읍 군청로 1","055-530-6700","","0","0","0"
"GNA016","미등록","고성군보건소","경상남도","고성군","경남 고성군 고성읍 군청로 1","055-670-4700","","0","0","0"
